"Annual Electricity, Net [MWh]",Electricity Produced [MW],Total Area [acre]
1.0242452160133123e6,102.33689263237848,2246.6727359999995
1.0242452160133123e6,206.57088541666667,2246.6727359999995
1.0242452160133123e6,206.30182291666668,2246.6727359999995
1.0242452160133123e6,205.91972222222222,2246.6727359999995
1.0242452160133123e6,55.52905381944444,2246.6727359999995
1.0242452160133123e6,-1.113493381076389,2246.6727359999995
1.0242452160133123e6,-1.1134488254123265,2246.6727359999995
1.0242452160133123e6,-1.1134023708767362,2246.6727359999995
1.0242452160133123e6,-1.4908634440104167,2246.6727359999995
1.0242452160133123e6,-1.6103470865885416,2246.6727359999995
1.0242452160133123e6,-2.840995822482639,2246.6727359999995
1.0242452160133123e6,-3.6591300455729168,2246.6727359999995
1.0242452160133123e6,131.28074245876735,2246.6727359999995
1.0242452160133123e6,204.83315972222223,2246.6727359999995
1.0242452160133123e6,210.74914930555556,2246.6727359999995
1.0242452160133123e6,207.33243055555556,2246.6727359999995
1.0242452160133123e6,110.25706597222222,2246.6727359999995
1.0242452160133123e6,-1.3118634711371528,2246.6727359999995
1.0242452160133123e6,-1.3878497992621528,2246.6727359999995
1.0242452160133123e6,-1.3875260416666666,2246.6727359999995
1.0242452160133123e6,20.259393480088974,2246.6727359999995
1.0242452160133123e6,-1.1150356716579861,2246.6727359999995
1.0242452160133123e6,-1.114970974392361,2246.6727359999995
1.0242452160133123e6,-1.1148904758029514,2246.6727359999995
1.0242452160133123e6,-1.1147913953993056,2246.6727359999995
1.0242452160133123e6,-1.1146807183159722,2246.6727359999995
1.0242452160133123e6,-1.1145672607421875,2246.6727359999995
1.0242452160133123e6,-1.1144563802083334,2246.6727359999995
1.0242452160133123e6,-1.114350789388021,2246.6727359999995
1.0242452160133123e6,-1.1142506239149306,2246.6727359999995
1.0242452160133123e6,-1.1141563585069445,2246.6727359999995
1.0242452160133123e6,-1.1140681966145833,2246.6727359999995
1.0242452160133123e6,-1.4911222330729166,2246.6727359999995
1.0242452160133123e6,-6.660797526041667,2246.6727359999995
1.0242452160133123e6,141.78755126953126,2246.6727359999995
1.0242452160133123e6,205.42144097222223,2246.6727359999995
1.0242452160133123e6,88.76563368055555,2246.6727359999995
1.0242452160133123e6,61.9412890625,2246.6727359999995
1.0242452160133123e6,166.55866319444445,2246.6727359999995
1.0242452160133123e6,203.17229166666667,2246.6727359999995
1.0242452160133123e6,194.11131944444443,2246.6727359999995
1.0242452160133123e6,60.02697916666666,2246.6727359999995
1.0242452160133123e6,-1.3118391927083333,2246.6727359999995
1.0242452160133123e6,-1.3878534613715279,2246.6727359999995
1.0242452160133123e6,-1.3875436740451388,2246.6727359999995
1.0242452160133123e6,17.571557193332247,2246.6727359999995
1.0242452160133123e6,-1.115061306423611,2246.6727359999995
1.0242452160133123e6,-1.114997083875868,2246.6727359999995
1.0242452160133123e6,-1.1149190945095486,2246.6727359999995
1.0242452160133123e6,-1.1148213704427083,2246.6727359999995
1.0242452160133123e6,-1.1147108289930556,2246.6727359999995
1.0242452160133123e6,-1.114597439236111,2246.6727359999995
1.0242452160133123e6,-1.1144879828559027,2246.6727359999995
1.0242452160133123e6,-1.114386461046007,2246.6727359999995
1.0242452160133123e6,-1.1142928738064235,2246.6727359999995
1.0242452160133123e6,-1.114202406141493,2246.6727359999995
1.0242452160133123e6,-1.490467529296875,2246.6727359999995
1.0242452160133123e6,-7.755050998263889,2246.6727359999995
1.0242452160133123e6,133.06421398460864,2246.6727359999995
1.0242452160133123e6,138.08666666666667,2246.6727359999995
1.0242452160133123e6,207.86489583333332,2246.6727359999995
1.0242452160133123e6,113.45032986111111,2246.6727359999995
1.0242452160133123e6,120.86984375,2246.6727359999995
1.0242452160133123e6,124.85997395833333,2246.6727359999995
1.0242452160133123e6,37.12125,2246.6727359999995
1.0242452160133123e6,-1.3119179958767362,2246.6727359999995
1.0242452160133123e6,-1.3878956434461807,2246.6727359999995
1.0242452160133123e6,-1.3875655110677083,2246.6727359999995
1.0242452160133123e6,16.136126692030164,2246.6727359999995
1.0242452160133123e6,-1.115088365342882,2246.6727359999995
1.0242452160133123e6,-1.1150408257378472,2246.6727359999995
1.0242452160133123e6,-1.1149829779730902,2246.6727359999995
1.0242452160133123e6,-1.1149033610026042,2246.6727359999995
1.0242452160133123e6,-1.114801500108507,2246.6727359999995
1.0242452160133123e6,-1.114688720703125,2246.6727359999995
1.0242452160133123e6,-1.1145775689019097,2246.6727359999995
1.0242452160133123e6,-2.218727620442708,2246.6727359999995
1.0242452160133123e6,-2.961098090277778,2246.6727359999995
1.0242452160133123e6,-2.9610074869791667,2246.6727359999995
1.0242452160133123e6,-2.9557503255208335,2246.6727359999995
1.0242452160133123e6,-3.3185161675347223,2246.6727359999995
1.0242452160133123e6,-3.4285774739583332,2246.6727359999995
1.0242452160133123e6,-3.412023654513889,2246.6727359999995
1.0242452160133123e6,-3.7616509331597223,2246.6727359999995
1.0242452160133123e6,34.20336330837674,2246.6727359999995
1.0242452160133123e6,192.69293402777777,2246.6727359999995
1.0242452160133123e6,115.46152777777777,2246.6727359999995
1.0242452160133123e6,189.06258680555555,2246.6727359999995
1.0242452160133123e6,94.83324652777777,2246.6727359999995
1.0242452160133123e6,-1.3128957790798612,2246.6727359999995
1.0242452160133123e6,-1.3884758843315972,2246.6727359999995
1.0242452160133123e6,35.09367770724826,2246.6727359999995
1.0242452160133123e6,-25.69952907986111,2246.6727359999995
1.0242452160133123e6,-3.4724061414930554,2246.6727359999995
1.0242452160133123e6,-2.9618549262152776,2246.6727359999995
1.0242452160133123e6,-2.9669685872395832,2246.6727359999995
1.0242452160133123e6,-2.9668929036458334,2246.6727359999995
1.0242452160133123e6,-2.961625705295139,2246.6727359999995
1.0242452160133123e6,-2.966691623263889,2246.6727359999995
1.0242452160133123e6,-2.966580403645833,2246.6727359999995
1.0242452160133123e6,-2.9664705403645835,2246.6727359999995
1.0242452160133123e6,-2.971537814670139,2246.6727359999995
1.0242452160133123e6,-2.9714390733506946,2246.6727359999995
1.0242452160133123e6,-2.960998806423611,2246.6727359999995
1.0242452160133123e6,-3.3177362738715277,2246.6727359999995
1.0242452160133123e6,-3.425551486545139,2246.6727359999995
1.0242452160133123e6,-4.330550401475694,2246.6727359999995
1.0242452160133123e6,-3.703205023871528,2246.6727359999995
1.0242452160133123e6,-3.651924506293403,2246.6727359999995
1.0242452160133123e6,-3.680403645833333,2246.6727359999995
1.0242452160133123e6,28.12624688042535,2246.6727359999995
1.0242452160133123e6,-1.8090919325086805,2246.6727359999995
1.0242452160133123e6,-1.7364921061197918,2246.6727359999995
1.0242452160133123e6,56.87510616726345,2246.6727359999995
1.0242452160133123e6,-16.167816840277776,2246.6727359999995
1.0242452160133123e6,-3.2345684136284722,2246.6727359999995
1.0242452160133123e6,-3.325869547526042,2246.6727359999995
1.0242452160133123e6,-2.9671036783854166,2246.6727359999995
1.0242452160133123e6,-2.9670564778645834,2246.6727359999995
1.0242452160133123e6,-2.9670005967881945,2246.6727359999995
1.0242452160133123e6,-2.9669175889756945,2246.6727359999995
1.0242452160133123e6,-2.966811252170139,2246.6727359999995
1.0242452160133123e6,-2.9615223524305554,2246.6727359999995
1.0242452160133123e6,-2.9614048936631945,2246.6727359999995
1.0242452160133123e6,-2.9561195203993056,2246.6727359999995
1.0242452160133123e6,-2.956013454861111,2246.6727359999995
