"Annual Electricity, Net [MWh]",Capacity Factor [-],Electricity Produced [MW],Rated Power [MW],Solar Multiple [-],Total Area [acre]
867444.0393322237,0.5907069152624435,85.8636373562283,167.6352343314247,3.0,1883.5741119999998
,,173.3111111111111,,,
,,173.07888888888888,,,
,,172.74916666666667,,,
,,46.60267361111111,,,
,,-0.9316541205512153,,,
,,-0.9316206868489584,,,
,,-0.931586439344618,,,
,,-1.2480154079861112,,,
,,-1.347848849826389,,,
,,-2.2226847330729167,,,
,,-2.9376430257161457,,,
,,121.4066817220052,,,
,,173.44571180555556,,,
,,177.1135763888889,,,
,,174.19444444444446,,,
,,102.43141493055556,,,
,,-1.097544894748264,,,
,,-1.1613624403211806,,,
,,-1.1611505805121527,,,
,,16.563370022243923,,,
,,-0.9327356635199653,,,
,,-0.9326807996961806,,,
,,-0.9326137288411458,,,
,,-0.932534654405382,,,
,,-0.9324494086371528,,,
,,-0.9323645697699653,,,
,,-0.9322833251953125,,,
,,-0.9322070990668403,,,
,,-0.9321356879340278,,,
,,-0.9320689561631944,,,
,,-0.9320068359375,,,
,,-1.2478591579861111,,,
,,-5.348975660536024,,,
,,97.89182712131077,,,
,,172.85460069444446,,,
,,96.03975694444445,,,
,,53.276953125,,,
,,140.75661458333335,,,
,,171.38184027777777,,,
,,162.54067708333332,,,
,,51.28352430555555,,,
,,-1.0975282796223957,,,
,,-1.1613643391927084,,,
,,-1.1611615668402777,,,
,,14.070563032362196,,,
,,-0.9327518717447917,,,
,,-0.9326976860894097,,,
,,-0.932632581922743,,,
,,-0.9325546603732638,,,
,,-0.9324698215060764,,,
,,-0.9323851182725694,,,
,,-0.9323049587673611,,,
,,-0.9322314453125,,,
,,-0.9321642388237847,,,
,,-0.9320999484592014,,,
,,-1.2471706814236112,,,
,,-5.756518283420139,,,
,,112.92067413258884,,,
,,117.84913194444445,,,
,,174.6575347222222,,,
,,96.97285590277778,,,
,,101.72171006944444,,,
,,104.91387152777777,,,
,,31.065045572916667,,,
,,-1.0975768364800347,,,
,,-1.1613899739583333,,,
,,-1.1611752658420138,,,
,,12.93523686726888,,,
,,-0.9327733696831597,,,
,,-0.9327311876085069,,,
,,-0.9326800537109375,,,
,,-0.9326141357421875,,,
,,-0.9325349934895834,,,
,,-0.9324507649739583,,,
,,-2.132569580078125,,,
,,-2.528994411892361,,,
,,-2.52446533203125,,,
,,-2.5244007703993057,,,
,,-2.519880913628472,,,
,,-2.823728298611111,,,
,,-2.9150081380208333,,,
,,-2.9009331597222223,,,
,,-3.147732204861111,,,
,,27.885518866644965,,,
,,163.06520833333335,,,
,,102.10780381944444,,,
,,159.19520833333334,,,
,,80.41425347222223,,,
,,-1.0982301161024306,,,
,,-1.1617750379774305,,,
,,29.26001878526476,,,
,,-21.479164496527776,,,
,,-2.9525272623697916,,,
,,-2.5250423177083334,,,
,,-2.5294520399305553,,,
,,-2.5293891059027778,,,
,,-2.5248537868923613,,,
,,-2.529231228298611,,,
,,-2.52914794921875,,,
,,-2.5290673828125,,,
,,-2.5334513346354166,,,
,,-2.533380533854167,,,
,,-2.5243934461805555,,,
,,-2.823023003472222,,,
,,-2.913008355034722,,,
,,-3.5483303493923612,,,
,,-3.107272406684028,,,
,,-3.093876681857639,,,
,,-3.1257614474826387,,,
,,25.56683600531684,,,
,,-1.5140524631076389,,,
,,-1.4532021755642361,,,
,,49.42211387634277,,,
,,-13.205241970486112,,,
,,-2.7536138237847223,,,
,,-2.829845445421007,,,
,,-2.5295738389756943,,,
,,-2.529533148871528,,,
,,-2.529482964409722,,,
,,-2.529413248697917,,,
,,-2.5293288845486113,,,
,,-2.524780002170139,,,
,,-2.5246923828125,,,
,,-2.520149739583333,,,
,,-2.520072970920139,,,
,,-2.5244615342881946,,,
,,-2.5199346245659724,,,
,,-2.82668701171875,,,
,,-2.9309592013888888,,,
,,-3.2604825846354166,,,
,,-2.9178955078125,,,
,,-2.917588704427083,,,
,,-3.34732421875,,,
,,-2.922846408420139,,,
,,-2.9897450086805555,,,
,,-2.81199951171875,,,
,,-2.516528591579861,,,
,,-2.520783420138889,,,
,,-2.520671657986111,,,
,,-2.525055881076389,,,
,,-2.5294384765625,,,
,,-2.5293519422743054,,,
,,-2.5337212456597222,,,
,,-2.5336317274305555,,,
,,-2.5335465494791665,,,
,,-2.533466796875,,,
,,-2.5333924696180556,,,
,,-2.533323025173611,,,
,,-2.5332581922743054,,,
,,-2.5331971571180554,,,
,,-2.533139105902778,,,
,,-2.8392621527777777,,,
,,-2.9427137586805556,,,
,,-3.4630304633246527,,,
,,7.804512261284723,,,
,,-26.205323350694446,,,
,,-3.1555607096354166,,,
,,-3.156003689236111,,,
,,56.818702935112846,,,
,,30.31462890625,,,
,,-17.714969618055555,,,
,,-2.75804931640625,,,
,,-2.84975830078125,,,
,,-2.533994140625,,,
,,-2.533955078125,,,
,,-2.533907877604167,,,
,,-2.5338422309027777,,,
,,-2.5337627495659722,,,
,,-2.533679741753472,,,
,,-2.5380596245659723,,,
,,-2.537983669704861,,,
,,-2.537910698784722,,,
,,-2.5378409830729165,,,
,,-2.53777587890625,,,
,,-2.53771240234375,,,
,,-2.840256076388889,,,
,,-19.80929416232639,,,
,,161.1376988972558,,,
,,173.86541666666668,,,
,,174.1601388888889,,,
,,173.16322916666667,,,
,,175.81793402777777,,,
,,176.23177083333334,,,
,,149.76638888888888,,,
,,144.09986979166666,,,
,,133.89789930555557,,,
,,21.3321095445421,,,
,,-1.161200900607639,,,
,,-0.9328575981987848,,,
,,-0.9328134494357639,,,
,,-0.9327617730034722,,,
,,-0.9326969401041667,,,
,,-0.9326207139756945,,,
,,-0.9325390625,,,
,,-0.9324591064453125,,,
,,-0.9323847113715278,,,
,,-0.9323151991102431,,,
,,-0.9322491455078125,,,
,,-0.9321856011284723,,,
,,-1.2426409233940972,,,
,,-4.044787326388889,,,
,,66.10509643554687,,,
,,101.76073784722222,,,
,,173.10059027777777,,,
,,173.51338541666667,,,
,,172.1564409722222,,,
,,170.96496527777776,,,
,,170.44140625,,,
,,152.4673090277778,,,
,,142.16715277777777,,,
,,53.512569444444445,,,
,,-1.0969661458333333,,,
,,-1.3393646240234376,,,
,,-0.9327974446614583,,,
,,-0.9327478705512153,,,
,,-0.9326845974392362,,,
,,-0.932608642578125,,,
,,-0.9325254991319445,,,
,,-0.9324422200520833,,,
,,-0.9323616536458333,,,
,,-0.9322861735026041,,,
,,-0.9322159152560764,,,
,,-0.9321499294704861,,,
,,-1.2435564507378472,,,
,,0.40837999131944447,,,
,,165.72364583333334,,,
,,173.6761111111111,,,
,,170.78395833333335,,,
,,162.06215277777778,,,
,,161.29508680555554,,,
,,171.25600694444444,,,
,,167.63960069444445,,,
,,144.9052170138889,,,
,,38.60367621527778,,,
,,-1.097155490451389,,,
,,-1.1611815049913194,,,
,,-1.4177264404296874,,,
,,-0.9327901204427084,,,
,,-0.9327404106987848,,,
,,-0.9326778157552084,,,
,,-0.9326025390625,,,
,,-0.9325199381510416,,,
,,-0.9324366590711806,,,
,,-0.9323568386501736,,,
,,-0.9322821044921875,,,
,,-0.9322128634982639,,,
,,-0.9321487087673611,,,
,,-1.2435930718315973,,,
,,-19.107004665798613,,,
,,161.954179684586,,,
,,173.0456076388889,,,
,,173.2254513888889,,,
,,172.57024305555555,,,
,,171.51508680555557,,,
,,170.48338541666666,,,
,,171.0973611111111,,,
,,149.95899305555557,,,
,,139.73149305555555,,,
,,126.5429513888889,,,
,,113.71928819444445,,,
,,28.309194878472223,,,
,,-0.9328019883897569,,,
,,-0.9327511935763889,,,
,,-0.9326861572265625,,,
,,-0.9326083713107639,,,
,,-0.9325245496961806,,,
,,-0.9324406602647569,,,
,,-0.9323600938585069,,,
,,-0.932284410264757,,,
,,-0.9322136773003472,,,
,,-0.9321467420789931,,,
,,-1.2440668402777777,,,
,,17.14484347873264,,,
,,165.64144097222223,,,
,,172.49887152777777,,,
,,172.79513888888889,,,
,,172.19833333333332,,,
,,170.43321180555554,,,
,,169.55875,,,
,,173.21302083333333,,,
,,153.44149305555555,,,
,,143.27600694444445,,,
,,130.15600694444444,,,
,,117.38711805555556,,,
,,97.89798611111111,,,
,,-0.9328006998697916,,,
,,-0.932750244140625,,,
,,-0.932685546875,,,
,,-0.9326080322265625,,,
,,-0.9325234646267361,,,
,,-0.9324390326605903,,,
,,-0.9323579915364584,,,
,,-0.9322820366753473,,,
,,-0.9322107611762153,,,
,,-0.9321430121527777,,,
,,-1.2445079210069445,,,
