"Annual Electricity, Net [MWh]",Capacity Factor [-],Electricity Produced [MW],Rated Power [MW],Solar Multiple [-],Total Area [acre]
7660.4804794881,0.6054636586318793,0.734123469458686,1.4443213238874328,3.0,18.1549312
,,1.4846563042534722,,,
,,1.4773221842447917,,,
,,1.4656682671440973,,,
,,0.38665330674913195,,,
,,-0.01409627808464898,,,
,,-0.014027560551961263,,,
,,-0.013963836034138997,,,
,,-0.017075940238104926,,,
,,-0.01909732182820638,,,
,,-0.04477790832519531,,,
,,0.4391362412770589,,,
,,1.5164655219184027,,,
,,1.5115703667534721,,,
,,1.3929836697048612,,,
,,1.143924831814236,,,
,,0.13471273634168837,,,
,,1.1481236436631945,,,
,,1.1361649576822916,,,
,,0.21677788628472222,,,
,,-0.015458038118150498,,,
,,-0.015267136891682943,,,
,,-0.015097307629055447,,,
,,-0.014945160547892253,,,
,,-0.014808483123779297,,,
,,-0.05431513044569227,,,
,,-0.07299623277452257,,,
,,-0.07305609809027777,,,
,,-0.07296201917860243,,,
,,-0.07287494235568577,,,
,,-0.07279436747233073,,,
,,-0.0727199978298611,,,
,,-0.07633589002821181,,,
,,-0.25513980441623263,,,
,,0.9991995133293999,,,
,,1.521795383029514,,,
,,0.42359463161892363,,,
,,0.7038600328233507,,,
,,0.9427621120876736,,,
,,1.444457736545139,,,
,,0.9676791042751736,,,
,,0.004313961135016547,,,
,,0.9186781819661458,,,
,,0.918865492078993,,,
,,0.4690657212999132,,,
,,-0.07401671515570747,,,
,,-0.07383543226453992,,,
,,-0.07383639017740885,,,
,,-0.07369222852918837,,,
,,-0.07372368706597222,,,
,,-0.07360416836208768,,,
,,-0.07349525451660156,,,
,,-0.07339614868164063,,,
,,-0.07330660502115885,,,
,,-0.07322544521755642,,,
,,-0.07314913431803385,,,
,,-0.07677230834960938,,,
,,-0.17777073754204645,,,
,,0.9983523573635223,,,
,,0.8744310167100694,,,
,,1.4113385687934028,,,
,,0.8502437337239583,,,
,,0.5221385023328993,,,
,,0.6039434814453125,,,
,,-0.36030198838975697,,,
,,0.9185486518012153,,,
,,0.9187386067708333,,,
,,0.11432138019137912,,,
,,-0.07365743849012586,,,
,,-0.07347732543945312,,,
,,-0.07331926981608072,,,
,,-0.0731811014811198,,,
,,-0.07305669996473524,,,
,,-0.07293997870551215,,,
,,-0.07283029344346788,,,
,,-0.07272894965277778,,,
,,-0.07263559977213542,,,
,,-0.0723868645562066,,,
,,-0.07230642530653211,,,
,,-0.07207002427842882,,,
